Rank,Title,Year,Rating
1,Breaking Bad,2008,9.5
2,Planet Earth II,2016,9.4
3,Planet Earth,2006,9.4
4,Band of Brothers,2001,9.4
5,Chernobyl,2019,9.3
6,The Wire,2002,9.3
7,Avatar: The Last Airbender,2005,9.3
8,The Sopranos,1999,9.2
9,Blue Planet II,2017,9.3
10,Cosmos: A Spacetime Odyssey,2014,9.2
11,Cosmos,1980,9.3
12,Our Planet,2019,9.2
13,Game of Thrones,2011,9.2
14,Bluey,2018,9.3
15,The World at War,1973,9.2
16,Fullmetal Alchemist: Brotherhood,2009,9.1
17,Attack on Titan,2013,9.1
18,Life,2009,9.1
19,The Last Dance,2020,9.0
20,The Twilight Zone,1959,9.0
21,The Vietnam War,2017,9.1
22,Rick and Morty,2013,9.0
23,Sherlock,2010,9.0
24,Batman: The Animated Series,1992,9.0
25,Better Call Saul,2015,9.0
26,Arcane,2021,9.0
27,The Office,2005,9.0
28,The Blue Planet,2001,9.0
29,Clarkson's Farm,2021,9.0
30,Scam 1992: The Harshad Mehta Story,2020,9.2
31,Dexter: Resurrection,2025,9.0
32,Hunter x Hunter,2011,9.0
33,Frozen Planet,2011,9.0
34,Human Planet,2011,9.0
35,Only Fools and Horses,1981,9.0
36,The Civil War,1990,9.0
37,Firefly,2002,8.9
38,As If,2021,9.0
39,Death Note,2006,8.9
40,Gravity Falls,2012,8.9
41,The Pitt,2025,8.9
42,Frieren: Beyond Journey's End,2023,8.9
43,Seinfeld,1989,8.9
44,Dekalog,1989,8.9
45,Taskmaster,2015,9.0
46,The Beatles: Get Back,2021,8.9
47,Cowboy Bebop,1998,8.9
48,Nathan for You,2013,8.9
49,True Detective,2014,8.8
50,Fargo,2014,8.8
51,Apocalypse: The Second World War,2009,9.0
52,Persona,2018,8.9
53,Africa,2013,8.9
54,One Piece,1999,9.0
55,When They See Us,2019,8.8
56,The West Wing,1999,8.9
57,Friends,1994,8.9
58,It's Always Sunny in Philadelphia,2005,8.8
59,Last Week Tonight with John Oliver,2014,8.8
